frame,time_s,id_i,id_j,distance_px,both_valid,contact_le_60px
67,2.2333333333333334,1,2,,0,0
68,2.2666666666666666,1,2,,0,0
69,2.3,1,2,,0,0
70,2.3333333333333335,1,2,,0,0
71,2.3666666666666667,1,2,,0,0
72,2.4,1,2,,0,0
73,2.433333333333333,1,2,,0,0
74,2.466666666666667,1,2,,0,0
75,2.5,1,2,,0,0
76,2.533333333333333,1,2,,0,0
77,2.566666666666667,1,2,,0,0
78,2.6,1,2,,0,0
79,2.6333333333333333,1,2,,0,0
80,2.6666666666666665,1,2,,0,0
81,2.7,1,2,,0,0
82,2.7333333333333334,1,2,,0,0
83,2.7666666666666666,1,2,,0,0
84,2.8,1,2,,0,0
85,2.8333333333333335,1,2,,0,0
86,2.8666666666666667,1,2,,0,0
87,2.9,1,2,,0,0
88,2.933333333333333,1,2,,0,0
89,2.966666666666667,1,2,,0,0
90,3.0,1,2,,0,0
91,3.033333333333333,1,2,,0,0
92,3.066666666666667,1,2,,0,0
93,3.1,1,2,,0,0
94,3.1333333333333333,1,2,,0,0
95,3.1666666666666665,1,2,,0,0
96,3.2,1,2,,0,0
97,3.2333333333333334,1,2,,0,0
98,3.2666666666666666,1,2,,0,0
99,3.3,1,2,,0,0
100,3.3333333333333335,1,2,,0,0
101,3.3666666666666667,1,2,,0,0
102,3.4,1,2,,0,0
103,3.433333333333333,1,2,,0,0
104,3.466666666666667,1,2,,0,0
105,3.5,1,2,,0,0
106,3.533333333333333,1,2,,0,0
107,3.566666666666667,1,2,,0,0
108,3.6,1,2,,0,0
109,3.6333333333333333,1,2,,0,0
110,3.6666666666666665,1,2,,0,0
111,3.7,1,2,,0,0
112,3.7333333333333334,1,2,,0,0
113,3.7666666666666666,1,2,,0,0
114,3.8,1,2,,0,0
115,3.8333333333333335,1,2,,0,0
116,3.8666666666666667,1,2,,0,0
117,3.9,1,2,,0,0
118,3.933333333333333,1,2,,0,0
119,3.966666666666667,1,2,,0,0
120,4.0,1,2,,0,0
121,4.033333333333333,1,2,,0,0
122,4.066666666666666,1,2,,0,0
123,4.1,1,2,,0,0
124,4.133333333333334,1,2,,0,0
125,4.166666666666667,1,2,,0,0
126,4.2,1,2,,0,0
127,4.233333333333333,1,2,,0,0
128,4.266666666666667,1,2,,0,0
129,4.3,1,2,,0,0
130,4.333333333333333,1,2,,0,0
131,4.366666666666666,1,2,,0,0
132,4.4,1,2,,0,0
133,4.433333333333334,1,2,,0,0
134,4.466666666666667,1,2,,0,0
135,4.5,1,2,,0,0
136,4.533333333333333,1,2,,0,0
137,4.566666666666666,1,2,,0,0
138,4.6,1,2,,0,0
139,4.633333333333334,1,2,,0,0
140,4.666666666666667,1,2,,0,0
141,4.7,1,2,,0,0
142,4.733333333333333,1,2,,0,0
143,4.766666666666667,1,2,,0,0
144,4.8,1,2,,0,0
145,4.833333333333333,1,2,,0,0
146,4.866666666666666,1,2,,0,0
147,4.9,1,2,,0,0
148,4.933333333333334,1,2,,0,0
149,4.966666666666667,1,2,,0,0
150,5.0,1,2,,0,0
151,5.033333333333333,1,2,,0,0
152,5.066666666666666,1,2,,0,0
153,5.1,1,2,,0,0
154,5.133333333333334,1,2,,0,0
155,5.166666666666667,1,2,,0,0
156,5.2,1,2,,0,0
157,5.233333333333333,1,2,,0,0
158,5.266666666666667,1,2,,0,0
159,5.3,1,2,,0,0
160,5.333333333333333,1,2,,0,0
161,5.366666666666666,1,2,,0,0
162,5.4,1,2,,0,0
163,5.433333333333334,1,2,,0,0
164,5.466666666666667,1,2,,0,0
165,5.5,1,2,,0,0
166,5.533333333333333,1,2,,0,0
167,5.566666666666666,1,2,,0,0
168,5.6,1,2,,0,0
169,5.633333333333334,1,2,,0,0
170,5.666666666666667,1,2,,0,0
171,5.7,1,2,,0,0
172,5.733333333333333,1,2,,0,0
173,5.766666666666667,1,2,,0,0
174,5.8,1,2,,0,0
175,5.833333333333333,1,2,,0,0
176,5.866666666666666,1,2,,0,0
177,5.9,1,2,,0,0
178,5.933333333333334,1,2,,0,0
179,5.966666666666667,1,2,,0,0
180,6.0,1,2,,0,0
181,6.033333333333333,1,2,,0,0
182,6.066666666666666,1,2,,0,0
183,6.1,1,2,,0,0
184,6.133333333333334,1,2,,0,0
185,6.166666666666667,1,2,,0,0
186,6.2,1,2,,0,0
187,6.233333333333333,1,2,,0,0
188,6.266666666666667,1,2,,0,0
189,6.3,1,2,,0,0
190,6.333333333333333,1,2,,0,0
191,6.366666666666666,1,2,,0,0
192,6.4,1,2,,0,0
193,6.433333333333334,1,2,,0,0
194,6.466666666666667,1,2,,0,0
195,6.5,1,2,,0,0
196,6.533333333333333,1,2,,0,0
197,6.566666666666666,1,2,,0,0
198,6.6,1,2,,0,0
199,6.633333333333334,1,2,,0,0
200,6.666666666666667,1,2,,0,0
201,6.7,1,2,,0,0
202,6.733333333333333,1,2,,0,0
203,6.766666666666667,1,2,,0,0
204,6.8,1,2,,0,0
205,6.833333333333333,1,2,,0,0
206,6.866666666666666,1,2,,0,0
207,6.9,1,2,,0,0
208,6.933333333333334,1,2,,0,0
209,6.966666666666667,1,2,,0,0
210,7.0,1,2,,0,0
211,7.033333333333333,1,2,,0,0
212,7.066666666666666,1,2,,0,0
213,7.1,1,2,,0,0
214,7.133333333333334,1,2,,0,0
215,7.166666666666667,1,2,,0,0
216,7.2,1,2,,0,0
217,7.233333333333333,1,2,,0,0
218,7.266666666666667,1,2,,0,0
219,7.3,1,2,,0,0
220,7.333333333333333,1,2,,0,0
221,7.366666666666666,1,2,,0,0
222,7.4,1,2,,0,0
223,7.433333333333334,1,2,,0,0
224,7.466666666666667,1,2,,0,0
225,7.5,1,2,,0,0
226,7.533333333333333,1,2,,0,0
227,7.566666666666666,1,2,,0,0
228,7.6,1,2,,0,0
229,7.633333333333334,1,2,,0,0
230,7.666666666666667,1,2,,0,0
231,7.7,1,2,,0,0
232,7.733333333333333,1,2,,0,0
233,7.766666666666667,1,2,,0,0
234,7.8,1,2,,0,0
235,7.833333333333333,1,2,,0,0
236,7.866666666666666,1,2,,0,0
237,7.9,1,2,,0,0
238,7.933333333333334,1,2,,0,0
239,7.966666666666667,1,2,,0,0
240,8.0,1,2,,0,0
241,8.033333333333333,1,2,,0,0
242,8.066666666666666,1,2,,0,0
243,8.1,1,2,,0,0
244,8.133333333333333,1,2,,0,0
245,8.166666666666666,1,2,,0,0
246,8.2,1,2,,0,0
247,8.233333333333333,1,2,,0,0
248,8.266666666666667,1,2,,0,0
249,8.3,1,2,,0,0
250,8.333333333333334,1,2,,0,0
251,8.366666666666667,1,2,,0,0
252,8.4,1,2,,0,0
253,8.433333333333334,1,2,,0,0
254,8.466666666666667,1,2,,0,0
255,8.5,1,2,,0,0
256,8.533333333333333,1,2,,0,0
257,8.566666666666666,1,2,,0,0
258,8.6,1,2,,0,0
259,8.633333333333333,1,2,,0,0
260,8.666666666666666,1,2,,0,0
261,8.7,1,2,,0,0
262,8.733333333333333,1,2,,0,0
263,8.766666666666667,1,2,,0,0
264,8.8,1,2,,0,0
265,8.833333333333334,1,2,,0,0
266,8.866666666666667,1,2,,0,0
267,8.9,1,2,,0,0
268,8.933333333333334,1,2,,0,0
269,8.966666666666667,1,2,,0,0
270,9.0,1,2,,0,0
271,9.033333333333333,1,2,,0,0
272,9.066666666666666,1,2,,0,0
273,9.1,1,2,,0,0
274,9.133333333333333,1,2,,0,0
275,9.166666666666666,1,2,,0,0
276,9.2,1,2,,0,0
277,9.233333333333333,1,2,,0,0
278,9.266666666666667,1,2,,0,0
279,9.3,1,2,,0,0
280,9.333333333333334,1,2,,0,0
281,9.366666666666667,1,2,,0,0
282,9.4,1,2,,0,0
283,9.433333333333334,1,2,,0,0
284,9.466666666666667,1,2,,0,0
285,9.5,1,2,,0,0
286,9.533333333333333,1,2,,0,0
287,9.566666666666666,1,2,,0,0
288,9.6,1,2,,0,0
289,9.633333333333333,1,2,,0,0
290,9.666666666666666,1,2,,0,0
291,9.7,1,2,,0,0
292,9.733333333333333,1,2,,0,0
293,9.766666666666667,1,2,,0,0
294,9.8,1,2,,0,0
295,9.833333333333334,1,2,,0,0
296,9.866666666666667,1,2,,0,0
297,9.9,1,2,,0,0
298,9.933333333333334,1,2,,0,0
299,9.966666666666667,1,2,,0,0
300,10.0,1,2,,0,0
301,10.033333333333333,1,2,,0,0
302,10.066666666666666,1,2,,0,0
303,10.1,1,2,,0,0
304,10.133333333333333,1,2,,0,0
305,10.166666666666666,1,2,,0,0
306,10.2,1,2,,0,0
307,10.233333333333333,1,2,,0,0
308,10.266666666666667,1,2,,0,0
309,10.3,1,2,,0,0
310,10.333333333333334,1,2,,0,0
311,10.366666666666667,1,2,,0,0
312,10.4,1,2,,0,0
313,10.433333333333334,1,2,,0,0
314,10.466666666666667,1,2,,0,0
315,10.5,1,2,,0,0
316,10.533333333333333,1,2,,0,0
317,10.566666666666666,1,2,,0,0
318,10.6,1,2,,0,0
319,10.633333333333333,1,2,,0,0
320,10.666666666666666,1,2,,0,0
321,10.7,1,2,,0,0
322,10.733333333333333,1,2,,0,0
323,10.766666666666667,1,2,,0,0
324,10.8,1,2,,0,0
325,10.833333333333334,1,2,,0,0
326,10.866666666666667,1,2,,0,0
327,10.9,1,2,,0,0
328,10.933333333333334,1,2,,0,0
329,10.966666666666667,1,2,,0,0
330,11.0,1,2,,0,0
331,11.033333333333333,1,2,,0,0
332,11.066666666666666,1,2,,0,0
333,11.1,1,2,,0,0
334,11.133333333333333,1,2,,0,0
335,11.166666666666666,1,2,,0,0
336,11.2,1,2,,0,0
337,11.233333333333333,1,2,,0,0
338,11.266666666666667,1,2,,0,0
339,11.3,1,2,,0,0
340,11.333333333333334,1,2,,0,0
341,11.366666666666667,1,2,,0,0
342,11.4,1,2,,0,0
343,11.433333333333334,1,2,,0,0
344,11.466666666666667,1,2,,0,0
345,11.5,1,2,,0,0
346,11.533333333333333,1,2,,0,0
347,11.566666666666666,1,2,,0,0
348,11.6,1,2,,0,0
349,11.633333333333333,1,2,,0,0
350,11.666666666666666,1,2,,0,0
351,11.7,1,2,,0,0
352,11.733333333333333,1,2,,0,0
353,11.766666666666667,1,2,,0,0
354,11.8,1,2,,0,0
355,11.833333333333334,1,2,,0,0
356,11.866666666666667,1,2,,0,0
357,11.9,1,2,,0,0
358,11.933333333333334,1,2,,0,0
359,11.966666666666667,1,2,,0,0
360,12.0,1,2,,0,0
361,12.033333333333333,1,2,,0,0
362,12.066666666666666,1,2,,0,0
363,12.1,1,2,,0,0
364,12.133333333333333,1,2,,0,0
365,12.166666666666666,1,2,,0,0
366,12.2,1,2,,0,0
367,12.233333333333333,1,2,,0,0
368,12.266666666666667,1,2,,0,0
369,12.3,1,2,,0,0
370,12.333333333333334,1,2,,0,0
371,12.366666666666667,1,2,,0,0
372,12.4,1,2,,0,0
373,12.433333333333334,1,2,,0,0
374,12.466666666666667,1,2,,0,0
375,12.5,1,2,,0,0
376,12.533333333333333,1,2,,0,0
377,12.566666666666666,1,2,,0,0
378,12.6,1,2,,0,0
379,12.633333333333333,1,2,,0,0
380,12.666666666666666,1,2,,0,0
381,12.7,1,2,,0,0
382,12.733333333333333,1,2,,0,0
383,12.766666666666667,1,2,,0,0
384,12.8,1,2,,0,0
385,12.833333333333334,1,2,,0,0
386,12.866666666666667,1,2,,0,0
387,12.9,1,2,,0,0
388,12.933333333333334,1,2,,0,0
389,12.966666666666667,1,2,,0,0
390,13.0,1,2,,0,0
391,13.033333333333333,1,2,,0,0
392,13.066666666666666,1,2,,0,0
393,13.1,1,2,,0,0
394,13.133333333333333,1,2,,0,0
395,13.166666666666666,1,2,,0,0
396,13.2,1,2,,0,0
397,13.233333333333333,1,2,,0,0
398,13.266666666666667,1,2,,0,0
399,13.3,1,2,,0,0
400,13.333333333333334,1,2,,0,0
401,13.366666666666667,1,2,,0,0
402,13.4,1,2,,0,0
403,13.433333333333334,1,2,,0,0
404,13.466666666666667,1,2,,0,0
405,13.5,1,2,,0,0
406,13.533333333333333,1,2,,0,0
407,13.566666666666666,1,2,,0,0
408,13.6,1,2,,0,0
409,13.633333333333333,1,2,,0,0
410,13.666666666666666,1,2,,0,0
411,13.7,1,2,,0,0
412,13.733333333333333,1,2,,0,0
413,13.766666666666667,1,2,,0,0
414,13.8,1,2,,0,0
415,13.833333333333334,1,2,,0,0
416,13.866666666666667,1,2,,0,0
417,13.9,1,2,,0,0
418,13.933333333333334,1,2,,0,0
419,13.966666666666667,1,2,,0,0
420,14.0,1,2,,0,0
421,14.033333333333333,1,2,,0,0
422,14.066666666666666,1,2,,0,0
423,14.1,1,2,,0,0
424,14.133333333333333,1,2,,0,0
425,14.166666666666666,1,2,,0,0
426,14.2,1,2,,0,0
427,14.233333333333333,1,2,,0,0
428,14.266666666666667,1,2,,0,0
429,14.3,1,2,,0,0
430,14.333333333333334,1,2,,0,0
431,14.366666666666667,1,2,,0,0
432,14.4,1,2,,0,0
433,14.433333333333334,1,2,,0,0
434,14.466666666666667,1,2,,0,0
435,14.5,1,2,,0,0
436,14.533333333333333,1,2,,0,0
437,14.566666666666666,1,2,,0,0
438,14.6,1,2,,0,0
439,14.633333333333333,1,2,,0,0
440,14.666666666666666,1,2,,0,0
441,14.7,1,2,,0,0
442,14.733333333333333,1,2,,0,0
443,14.766666666666667,1,2,,0,0
444,14.8,1,2,,0,0
445,14.833333333333334,1,2,,0,0
446,14.866666666666667,1,2,,0,0
447,14.9,1,2,,0,0
448,14.933333333333334,1,2,,0,0
449,14.966666666666667,1,2,,0,0
450,15.0,1,2,,0,0
451,15.033333333333333,1,2,,0,0
452,15.066666666666666,1,2,,0,0
453,15.1,1,2,,0,0
454,15.133333333333333,1,2,,0,0
455,15.166666666666666,1,2,,0,0
456,15.2,1,2,,0,0
457,15.233333333333333,1,2,,0,0
458,15.266666666666667,1,2,,0,0
459,15.3,1,2,,0,0
460,15.333333333333334,1,2,,0,0
461,15.366666666666667,1,2,,0,0
462,15.4,1,2,,0,0
463,15.433333333333334,1,2,,0,0
464,15.466666666666667,1,2,,0,0
465,15.5,1,2,,0,0
466,15.533333333333333,1,2,,0,0
467,15.566666666666666,1,2,,0,0
468,15.6,1,2,,0,0
469,15.633333333333333,1,2,,0,0
470,15.666666666666666,1,2,,0,0
471,15.7,1,2,,0,0
472,15.733333333333333,1,2,,0,0
473,15.766666666666667,1,2,,0,0
474,15.8,1,2,,0,0
475,15.833333333333334,1,2,,0,0
476,15.866666666666667,1,2,,0,0
477,15.9,1,2,,0,0
478,15.933333333333334,1,2,,0,0
479,15.966666666666667,1,2,,0,0
480,16.0,1,2,,0,0
481,16.033333333333335,1,2,,0,0
482,16.066666666666666,1,2,,0,0
483,16.1,1,2,,0,0
484,16.133333333333333,1,2,,0,0
485,16.166666666666668,1,2,,0,0
486,16.2,1,2,,0,0
487,16.233333333333334,1,2,,0,0
488,16.266666666666666,1,2,,0,0
489,16.3,1,2,,0,0
490,16.333333333333332,1,2,,0,0
491,16.366666666666667,1,2,,0,0
492,16.4,1,2,,0,0
493,16.433333333333334,1,2,,0,0
494,16.466666666666665,1,2,,0,0
495,16.5,1,2,,0,0
496,16.533333333333335,1,2,,0,0
497,16.566666666666666,1,2,,0,0
498,16.6,1,2,,0,0
499,16.633333333333333,1,2,,0,0
500,16.666666666666668,1,2,,0,0
501,16.7,1,2,,0,0
502,16.733333333333334,1,2,,0,0
503,16.766666666666666,1,2,,0,0
504,16.8,1,2,,0,0
505,16.833333333333332,1,2,,0,0
506,16.866666666666667,1,2,,0,0
507,16.9,1,2,,0,0
508,16.933333333333334,1,2,,0,0
509,16.966666666666665,1,2,,0,0
510,17.0,1,2,,0,0
511,17.033333333333335,1,2,,0,0
512,17.066666666666666,1,2,,0,0
513,17.1,1,2,,0,0
514,17.133333333333333,1,2,,0,0
515,17.166666666666668,1,2,,0,0
516,17.2,1,2,,0,0
517,17.233333333333334,1,2,,0,0
518,17.266666666666666,1,2,,0,0
519,17.3,1,2,,0,0
520,17.333333333333332,1,2,,0,0
521,17.366666666666667,1,2,,0,0
522,17.4,1,2,,0,0
523,17.433333333333334,1,2,,0,0
524,17.466666666666665,1,2,,0,0
525,17.5,1,2,,0,0
526,17.533333333333335,1,2,,0,0
527,17.566666666666666,1,2,,0,0
528,17.6,1,2,,0,0
529,17.633333333333333,1,2,,0,0
530,17.666666666666668,1,2,,0,0
531,17.7,1,2,,0,0
532,17.733333333333334,1,2,,0,0
533,17.766666666666666,1,2,,0,0
534,17.8,1,2,,0,0
535,17.833333333333332,1,2,,0,0
536,17.866666666666667,1,2,,0,0
537,17.9,1,2,,0,0
538,17.933333333333334,1,2,,0,0
539,17.966666666666665,1,2,,0,0
540,18.0,1,2,,0,0
541,18.033333333333335,1,2,,0,0
542,18.066666666666666,1,2,,0,0
543,18.1,1,2,,0,0
544,18.133333333333333,1,2,,0,0
545,18.166666666666668,1,2,,0,0
546,18.2,1,2,,0,0
547,18.233333333333334,1,2,,0,0
548,18.266666666666666,1,2,,0,0
549,18.3,1,2,,0,0
550,18.333333333333332,1,2,,0,0
551,18.366666666666667,1,2,,0,0
552,18.4,1,2,,0,0
553,18.433333333333334,1,2,,0,0
554,18.466666666666665,1,2,,0,0
555,18.5,1,2,,0,0
556,18.533333333333335,1,2,,0,0
557,18.566666666666666,1,2,,0,0
558,18.6,1,2,,0,0
559,18.633333333333333,1,2,,0,0
560,18.666666666666668,1,2,,0,0
561,18.7,1,2,,0,0
562,18.733333333333334,1,2,,0,0
563,18.766666666666666,1,2,,0,0
564,18.8,1,2,,0,0
565,18.833333333333332,1,2,,0,0
566,18.866666666666667,1,2,,0,0
567,18.9,1,2,,0,0
568,18.933333333333334,1,2,,0,0
569,18.966666666666665,1,2,,0,0
570,19.0,1,2,,0,0
571,19.033333333333335,1,2,,0,0
572,19.066666666666666,1,2,,0,0
573,19.1,1,2,,0,0
574,19.133333333333333,1,2,,0,0
575,19.166666666666668,1,2,,0,0
576,19.2,1,2,,0,0
577,19.233333333333334,1,2,,0,0
578,19.266666666666666,1,2,,0,0
579,19.3,1,2,,0,0
580,19.333333333333332,1,2,,0,0
581,19.366666666666667,1,2,,0,0
582,19.4,1,2,,0,0
583,19.433333333333334,1,2,,0,0
584,19.466666666666665,1,2,,0,0
585,19.5,1,2,,0,0
586,19.533333333333335,1,2,,0,0
587,19.566666666666666,1,2,,0,0
588,19.6,1,2,,0,0
589,19.633333333333333,1,2,,0,0
590,19.666666666666668,1,2,,0,0
591,19.7,1,2,,0,0
592,19.733333333333334,1,2,,0,0
593,19.766666666666666,1,2,,0,0
594,19.8,1,2,,0,0
595,19.833333333333332,1,2,,0,0
596,19.866666666666667,1,2,,0,0
597,19.9,1,2,,0,0
598,19.933333333333334,1,2,,0,0
599,19.966666666666665,1,2,,0,0
600,20.0,1,2,,0,0
601,20.033333333333335,1,2,,0,0
602,20.066666666666666,1,2,,0,0
603,20.1,1,2,,0,0
604,20.133333333333333,1,2,,0,0
605,20.166666666666668,1,2,,0,0
606,20.2,1,2,,0,0
607,20.233333333333334,1,2,,0,0
608,20.266666666666666,1,2,,0,0
609,20.3,1,2,,0,0
610,20.333333333333332,1,2,,0,0
611,20.366666666666667,1,2,,0,0
612,20.4,1,2,,0,0
613,20.433333333333334,1,2,,0,0
614,20.466666666666665,1,2,,0,0
615,20.5,1,2,,0,0
616,20.533333333333335,1,2,,0,0
617,20.566666666666666,1,2,,0,0
618,20.6,1,2,,0,0
619,20.633333333333333,1,2,,0,0
620,20.666666666666668,1,2,,0,0
621,20.7,1,2,,0,0
622,20.733333333333334,1,2,,0,0
623,20.766666666666666,1,2,,0,0
624,20.8,1,2,,0,0
625,20.833333333333332,1,2,,0,0
626,20.866666666666667,1,2,,0,0
627,20.9,1,2,,0,0
628,20.933333333333334,1,2,,0,0
629,20.966666666666665,1,2,,0,0
630,21.0,1,2,,0,0
631,21.033333333333335,1,2,,0,0
632,21.066666666666666,1,2,,0,0
633,21.1,1,2,,0,0
634,21.133333333333333,1,2,,0,0
635,21.166666666666668,1,2,,0,0
636,21.2,1,2,,0,0
637,21.233333333333334,1,2,,0,0
638,21.266666666666666,1,2,,0,0
639,21.3,1,2,,0,0
640,21.333333333333332,1,2,,0,0
641,21.366666666666667,1,2,,0,0
642,21.4,1,2,,0,0
643,21.433333333333334,1,2,,0,0
644,21.466666666666665,1,2,,0,0
645,21.5,1,2,,0,0
646,21.533333333333335,1,2,,0,0
647,21.566666666666666,1,2,,0,0
648,21.6,1,2,,0,0
649,21.633333333333333,1,2,,0,0
650,21.666666666666668,1,2,,0,0
651,21.7,1,2,,0,0
652,21.733333333333334,1,2,,0,0
653,21.766666666666666,1,2,,0,0
654,21.8,1,2,,0,0
655,21.833333333333332,1,2,,0,0
656,21.866666666666667,1,2,,0,0
657,21.9,1,2,,0,0
658,21.933333333333334,1,2,,0,0
659,21.966666666666665,1,2,,0,0
660,22.0,1,2,,0,0
661,22.033333333333335,1,2,,0,0
662,22.066666666666666,1,2,,0,0
663,22.1,1,2,,0,0
664,22.133333333333333,1,2,,0,0
665,22.166666666666668,1,2,,0,0
666,22.2,1,2,,0,0
667,22.233333333333334,1,2,,0,0
668,22.266666666666666,1,2,,0,0
669,22.3,1,2,,0,0
670,22.333333333333332,1,2,,0,0
671,22.366666666666667,1,2,,0,0
672,22.4,1,2,,0,0
673,22.433333333333334,1,2,,0,0
674,22.466666666666665,1,2,,0,0
675,22.5,1,2,,0,0
676,22.533333333333335,1,2,,0,0
677,22.566666666666666,1,2,,0,0
678,22.6,1,2,,0,0
679,22.633333333333333,1,2,,0,0
680,22.666666666666668,1,2,,0,0
681,22.7,1,2,,0,0
682,22.733333333333334,1,2,,0,0
683,22.766666666666666,1,2,,0,0
684,22.8,1,2,,0,0
685,22.833333333333332,1,2,,0,0
686,22.866666666666667,1,2,,0,0
687,22.9,1,2,,0,0
688,22.933333333333334,1,2,,0,0
689,22.966666666666665,1,2,,0,0
690,23.0,1,2,,0,0
691,23.033333333333335,1,2,,0,0
692,23.066666666666666,1,2,,0,0
693,23.1,1,2,,0,0
694,23.133333333333333,1,2,,0,0
695,23.166666666666668,1,2,,0,0
696,23.2,1,2,,0,0
697,23.233333333333334,1,2,,0,0
698,23.266666666666666,1,2,,0,0
699,23.3,1,2,,0,0
700,23.333333333333332,1,2,,0,0
701,23.366666666666667,1,2,,0,0
702,23.4,1,2,,0,0
703,23.433333333333334,1,2,,0,0
704,23.466666666666665,1,2,,0,0
705,23.5,1,2,,0,0
706,23.533333333333335,1,2,,0,0
707,23.566666666666666,1,2,,0,0
708,23.6,1,2,,0,0
709,23.633333333333333,1,2,,0,0
710,23.666666666666668,1,2,,0,0
711,23.7,1,2,,0,0
712,23.733333333333334,1,2,,0,0
713,23.766666666666666,1,2,,0,0
714,23.8,1,2,,0,0
715,23.833333333333332,1,2,,0,0
716,23.866666666666667,1,2,,0,0
717,23.9,1,2,,0,0
718,23.933333333333334,1,2,,0,0
719,23.966666666666665,1,2,,0,0
720,24.0,1,2,,0,0
721,24.033333333333335,1,2,,0,0
722,24.066666666666666,1,2,,0,0
723,24.1,1,2,,0,0
724,24.133333333333333,1,2,,0,0
725,24.166666666666668,1,2,,0,0
726,24.2,1,2,,0,0
727,24.233333333333334,1,2,,0,0
728,24.266666666666666,1,2,,0,0
729,24.3,1,2,,0,0
730,24.333333333333332,1,2,,0,0
731,24.366666666666667,1,2,,0,0
732,24.4,1,2,,0,0
733,24.433333333333334,1,2,,0,0
734,24.466666666666665,1,2,,0,0
735,24.5,1,2,,0,0
736,24.533333333333335,1,2,,0,0
737,24.566666666666666,1,2,,0,0
738,24.6,1,2,,0,0
739,24.633333333333333,1,2,,0,0
740,24.666666666666668,1,2,,0,0
741,24.7,1,2,,0,0
742,24.733333333333334,1,2,,0,0
743,24.766666666666666,1,2,,0,0
744,24.8,1,2,,0,0
745,24.833333333333332,1,2,,0,0
746,24.866666666666667,1,2,,0,0
747,24.9,1,2,,0,0
748,24.933333333333334,1,2,,0,0
749,24.966666666666665,1,2,,0,0
750,25.0,1,2,,0,0
751,25.033333333333335,1,2,,0,0
752,25.066666666666666,1,2,,0,0
753,25.1,1,2,,0,0
754,25.133333333333333,1,2,,0,0
755,25.166666666666668,1,2,,0,0
756,25.2,1,2,,0,0
757,25.233333333333334,1,2,,0,0
758,25.266666666666666,1,2,,0,0
759,25.3,1,2,,0,0
760,25.333333333333332,1,2,,0,0
761,25.366666666666667,1,2,,0,0
762,25.4,1,2,,0,0
763,25.433333333333334,1,2,,0,0
764,25.466666666666665,1,2,,0,0
765,25.5,1,2,,0,0
766,25.533333333333335,1,2,,0,0
767,25.566666666666666,1,2,,0,0
768,25.6,1,2,,0,0
769,25.633333333333333,1,2,,0,0
770,25.666666666666668,1,2,,0,0
771,25.7,1,2,,0,0
772,25.733333333333334,1,2,,0,0
773,25.766666666666666,1,2,,0,0
774,25.8,1,2,,0,0
775,25.833333333333332,1,2,,0,0
776,25.866666666666667,1,2,,0,0
777,25.9,1,2,,0,0
778,25.933333333333334,1,2,,0,0
779,25.966666666666665,1,2,,0,0
780,26.0,1,2,,0,0
781,26.033333333333335,1,2,,0,0
782,26.066666666666666,1,2,,0,0
783,26.1,1,2,,0,0
784,26.133333333333333,1,2,,0,0
